idx, row, col, L_finger, L_coupler, f0_design, f0_meas, f0_design_nibble, L_finger_nibble, f0_meas_nibble
1.090000e+02,9.000000e+00,8.000000e+00,4.118673e+02,6.866816e+01,5.085930e+00,5.234373e+00,5.234763e+00,4.118673e+02,5.199259e+00
1.100000e+02,1.000000e+01,1.500000e+01,4.097113e+02,6.843001e+01,5.094975e+00,5.245432e+00,5.249855e+00,4.097113e+02,5.214598e+00
1.110000e+02,1.100000e+01,2.000000e+00,4.078423e+02,6.820223e+01,5.104020e+00,5.265019e+00,5.272141e+00,4.078423e+02,5.235435e+00
1.120000e+02,1.200000e+01,9.000000e+00,4.061259e+02,6.796824e+01,5.113065e+00,5.264176e+00,5.264572e+00,4.061259e+02,5.229874e+00
1.130000e+02,1.300000e+01,1.600000e+01,4.044673e+02,6.771723e+01,5.122111e+00,5.279734e+00,5.280131e+00,4.044673e+02,5.247650e+00
1.140000e+02,1.400000e+01,3.000000e+00,4.028145e+02,6.747944e+01,5.131156e+00,5.291668e+00,5.292067e+00,4.028145e+02,5.257022e+00
1.150000e+02,1.500000e+01,1.000000e+01,4.011247e+02,6.726806e+01,5.140201e+00,5.304289e+00,5.308140e+00,4.011247e+02,5.271955e+00
1.160000e+02,1.600000e+01,1.700000e+01,3.993639e+02,6.703065e+01,5.149246e+00,5.311693e+00,5.323182e+00,3.993639e+02,5.287982e+00
1.170000e+02,1.700000e+01,4.000000e+00,3.975097e+02,6.683393e+01,5.158291e+00,5.319159e+00,5.330696e+00,3.975097e+02,5.293667e+00
1.180000e+02,1.800000e+01,1.100000e+01,3.955404e+02,6.665785e+01,5.167337e+00,5.325251e+00,5.338246e+00,3.955404e+02,5.301446e+00
1.190000e+02,1.900000e+01,1.800000e+01,3.934460e+02,6.645597e+01,5.176382e+00,5.300227e+00,5.300636e+00,3.934460e+02,5.264739e+00
1.200000e+02,0.000000e+00,6.000000e+00,3.912344e+02,6.629433e+01,5.185427e+00,5.305038e+00,5.315963e+00,3.912344e+02,5.280046e+00
