# idx, f0, Ql, Qi, Qc, phi, f0, Ql, Qi, Qc, phi
5.800000000000000000e+01,4.754900486334715737e+00,5.065341821838952455e+04,9.222408451176160015e+05,5.359720641223153507e+04,-7.073044042036689960e-02,4.723099278910845022e+00,5.430949476114947174e+04,4.898642227133234846e+05,6.108136757511005271e+04,-3.681219516163758421e-02
5.900000000000000000e+01,4.729286760441258508e+00,5.428012915861268266e+04,4.682260359498860198e+05,6.139780413289699936e+04,-9.560484180836890944e-02,4.697671812976536465e+00,4.163339528477340355e+04,4.330066226353133679e+05,4.606226134357946285e+04,-1.100003045744176872e-01
6.000000000000000000e+01,4.733198879837285489e+00,5.104382033037141809e+04,4.829489023447175859e+05,5.707633002386165754e+04,-6.567508394273292860e-02,4.701045773347478196e+00,4.027965483979351120e+04,4.717945212023632484e+05,4.403954985265657888e+04,-1.165653038438100864e-01
6.100000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.200000000000000000e+01,4.796356916199420617e+00,6.076629245002022071e+04,6.027708587156585418e+05,6.757904372177178448e+04,-1.916742814293045660e-01,4.764239992274582391e+00,4.607028678554272483e+04,4.177230868539802614e+05,5.178118503280822188e+04,-1.798957455270187300e-01
6.300000000000000000e+01,4.800081510155104425e+00,4.652489833206016192e+04,5.606550703126094304e+05,5.073505031841435994e+04,-8.341612886518245951e-02,4.767800402730070886e+00,3.785897180970281624e+04,4.124952860875345068e+05,4.168482021751341381e+04,-1.670918171084992410e-01
6.400000000000000000e+01,4.810768828960924282e+00,3.872652716624005552e+04,6.448743243838008493e+05,4.120074865684333781e+04,-2.594468858904034128e-02,4.778403263572282178e+00,4.265263262809391745e+04,4.141978005303452373e+05,4.754906845143844839e+04,5.376177150880266653e-02
6.500000000000000000e+01,4.822844502411962608e+00,5.472966918696077482e+04,8.987513447279327083e+05,5.827855516479340440e+04,-3.856834504426483179e-02,4.790598564744845689e+00,5.464953844922430289e+04,4.828335206767933560e+05,6.162451223777194537e+04,-1.407780188528350573e-01
6.600000000000000000e+01,4.826630172902907745e+00,4.609856145655820001e+04,5.765590611018392956e+05,5.010466062847602007e+04,1.569868032444211026e-01,4.794137517366026557e+00,4.666054606685675390e+04,3.356874167260666727e+05,5.419343238393691718e+04,-1.887131423064810354e-01
6.700000000000000000e+01,4.834840832091486185e+00,4.175537336064259580e+04,6.488760019904146902e+05,4.462714401423023810e+04,5.800943617034289707e-02,4.802462048991434251e+00,4.457397477501938556e+04,4.685400186376099591e+05,4.926029165347206435e+04,-1.127051288545848629e-01
6.800000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.900000000000000000e+01,4.847989251212225348e+00,5.117331168082346267e+04,5.101754825792362681e+05,5.687853051074111136e+04,-4.494311909944768285e-02,4.815493740753321816e+00,3.838299801447091158e+04,4.005168552247313200e+05,4.245125760203961545e+04,-3.275612822294800275e-02
7.000000000000000000e+01,4.858218470296204572e+00,5.286836272695039952e+04,6.479261480923418421e+05,5.756549273040395201e+04,-5.056750021928473754e-02,4.825574115514469575e+00,5.138289602982811630e+04,4.456437380449345801e+05,5.807948296683609078e+04,7.560793880216144444e-03
7.100000000000000000e+01,4.879082984345222584e+00,3.734202458020521590e+04,6.385323835103255697e+05,3.966146763020717481e+04,-1.832177289293444589e-01,nan,nan,nan,nan,nan
7.200000000000000000e+01,4.881445412651070903e+00,4.612467306283582730e+04,4.626817317693828372e+05,5.123198170324047533e+04,1.146262174942511702e-01,4.848622788803104378e+00,4.542017987941686442e+04,3.545309990578343859e+05,5.209413825383349467e+04,-1.061067026538382585e-01
7.300000000000000000e+01,nan,nan,nan,nan,nan,4.858146753066388435e+00,5.867792414275074407e+04,4.033259501069989055e+05,6.866811274768874864e+04,-3.543366190209213534e-02
7.400000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.500000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.600000000000000000e+01,4.931743573586455653e+00,4.217155781215434399e+04,4.667030579413397354e+05,4.636074115370307118e+04,1.146610400148179582e-01,4.898679034724809256e+00,4.123764619912616035e+04,4.778146308473828249e+05,4.513282052998193103e+04,2.000801330298151992e-01
7.700000000000000000e+01,4.943717724163768423e+00,3.652785165079125727e+04,5.988903350662064040e+05,3.890049204834883130e+04,9.570200979855900125e-02,4.910678066963632737e+00,4.927678367181548674e+04,4.186824902049109223e+05,5.585004815066662559e+04,1.665048861904214542e-02
7.800000000000000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.900000000000000000e+01,4.922748294246959588e+00,4.324933637853460095e+04,4.671638895838636090e+05,4.766179422656142560e+04,-1.306618999412116622e-02,4.889815918643170889e+00,4.287035349247713020e+04,3.951993049835318234e+05,4.808669237349187460e+04,2.039344764790703146e-01
8.000000000000000000e+01,4.927786049014042824e+00,3.856212854618997517e+04,3.838204349842180382e+05,4.286915818250604207e+04,1.028557766702534182e-01,4.894385366289485617e+00,3.911993027935544524e+04,4.023233631456491421e+05,4.333346133820148680e+04,2.007870157407627976e-01
