# row col f0[GHz]
15 11 6.679910
23 27 6.796995
31 11 6.881973
0 22 6.951468
8 6 6.762794
16 22 6.698799
24 6 6.755498
1 0 6.909471
9 16 6.709752
17 0 6.875505
25 16 6.733344
2 10 6.830399
10 26 6.814322
18 10 6.704752
26 26 6.836711
3 20 6.811213
11 4 6.821462
19 20 6.736281
27 4 6.854413
4 30 6.913768
12 14 6.740921
20 30 6.902518
28 14 6.801120
5 8 6.847569
13 24 6.797620
21 8 6.782418
29 24 6.883035
6 18 6.806791
14 2 6.894691
22 18 6.762857
30 2 6.923657
7 28 6.902925
15 12 6.766122
23 28 6.916892
31 12 6.991387
0 23 7.063944
8 7 6.866943
16 23 6.838101
24 7 6.859225
1 1 7.023900
9 17 6.831446
17 1 6.990527
25 17 6.847819
2 11 6.958530
10 27 6.932516
18 11 6.816556
26 27 6.966670
3 21 6.943672
11 5 6.913768
19 21 6.862896
27 5 6.973732
4 31 7.215151
12 15 6.857537
20 31 7.157281
28 15 6.921111
5 9 6.964014
13 25 6.929407
21 9 6.888723
29 25 7.015182
6 19 6.954983
14 3 6.999417
22 19 6.891910
30 3 7.032181
7 29 7.041508
15 13 6.884254
23 29 7.068787
31 13 7.108519
0 24 7.167155
8 8 6.984372
16 24 6.969701
24 8 6.979966
1 2 7.119862
9 18 6.949734
17 2 7.024462
25 18 6.975279
2 12 7.050851
10 28 7.057663
18 12 6.932391
26 28 7.087708
3 22 7.083536
11 6 7.012495
19 22 6.997136
27 6 7.053648
4 0 7.148031
12 16 6.983356
20 0 7.126002
28 16 7.025884
5 10 7.040758
13 26 7.043977
21 10 7.004651
29 26 7.122283
6 20 7.057523
14 4 7.088848
22 20 7.014135
30 4 7.136642
7 30 7.178654
15 14 7.001480
23 30 7.197981
31 14 7.224729
0 25 7.303614
8 9 7.077146
16 25 7.100941
24 9 7.069475
1 3 7.260929
9 19 7.073928
17 3 7.144500
25 19 7.096192
2 13 7.189903
10 29 7.201074
18 13 7.030946
26 29 7.216823
3 23 7.226713
11 7 7.125580
19 23 7.112722
27 7 7.161171
4 1 7.262476
12 17 7.084942
20 1 7.237228
28 17 7.149813
5 11 7.154609
13 27 7.188294
21 11 7.101504
29 27 7.261101
6 21 7.207996
14 5 7.180701
22 21 7.128142
30 5 7.254820
7 31 7.480491
15 15 7.105722
23 31 7.464633
31 15 7.335986
0 26 7.394669
8 10 7.170498
16 26 7.232947
24 10 7.166593
1 4 7.322393
9 20 7.178982
17 4 7.253914
25 20 7.217151
2 14 7.289693
10 30 7.302848
18 14 7.137876
26 30 7.326940
3 24 7.319659
11 8 7.240196
19 24 7.251383
27 8 7.275897
4 2 7.370452
12 18 7.203871
20 2 7.333377
28 18 7.372765
5 12 7.277990
13 28 7.305723
21 12 7.222713
29 28 7.355844
6 22 7.308332
14 6 7.281131
22 22 7.266179
30 6 7.361250
7 0 7.423370
15 16 7.237228
23 0 7.410918
31 16 7.436557
0 27 7.545002
8 11 7.292817
16 27 7.374530
24 11 7.288287
1 5 7.433760
9 21 7.311472
17 5 7.349220
25 21 7.338408
2 15 7.429885
10 31 7.625855
18 15 7.277803
26 31 7.638901
3 25 7.467133
11 9 7.345407
19 25 7.375624
27 9 7.378874
4 3 7.484756
12 19 7.325753
20 3 7.414527
28 19 7.398091
5 13 7.402997
13 29 7.481850
21 13 7.340955
29 29 7.503224
6 23 7.457274
14 7 7.384858
22 23 7.392310
30 7 7.488381
7 1 7.547470
15 17 7.355141
23 1 7.498271
31 17 7.586030
0 28 7.682851
8 12 7.414965
16 28 7.492943
24 12 7.402934
1 6 7.557673
9 22 7.443588
17 6 7.450134
25 22 7.471289
2 16 7.547845
10 0 7.606591
18 16 7.377374
26 0 7.591467
3 26 7.576562
11 10 7.439916
19 26 7.515067
