Frequency,dB,Rad
2.458218,55.79253006,2.234571119
2.458218,55.799877167,2.242684972
2.458218,55.909675598,2.231339906
2.458218,55.803817749,2.241950206
2.458218,55.756736755,2.24365383
2.458218,55.859783173,2.2460821
2.458218,55.769672394,2.232611166
2.458218,55.77545929,2.227281381
2.458218,55.84091568,2.236166619
2.458218,55.776302338,2.239956297
2.458218,55.706768036,2.233982294
2.458218,55.724155426,2.236447582
2.458218,55.768859863,2.236052103
2.458218,55.785804749,2.234502676
2.458218,55.797683716,2.23691044
2.458218,55.778617859,2.234664862
2.458218,55.795143127,2.249180954
2.458218,55.827030182,2.245016569
2.458218,55.861961365,2.241799737
2.458218,55.740505219,2.236838002
2.458218,55.684333801,2.233496001
2.458218,55.721351624,2.239911556
2.458218,55.77192688,2.233340339
2.458218,55.860778809,2.240671356
2.458218,55.852813721,2.238697154
2.458218,55.777938843,2.23594531
2.458218,55.705825806,2.237946143
2.458218,55.76486969,2.235112806
2.458218,55.795101166,2.229612313
2.458218,55.801834106,2.239511017
2.458218,55.816162109,2.241043932
2.458218,55.811447144,2.241183748
2.458218,55.913871765,2.245797142
2.458218,55.791290283,2.224113951
2.458218,55.864379883,2.230580638
2.458218,55.805862427,2.245449866
2.458218,55.885349274,2.255092906
2.458218,55.804046631,2.246619792
2.458218,55.700897217,2.243030118
2.458218,55.80846405,2.234698684
2.458218,55.798503876,2.241003452
2.458218,55.737407684,2.246052006
2.458218,55.794368744,2.243222131
2.458218,55.777378082,2.249004919
2.458218,55.890510559,2.227984456
2.458218,55.8295784,2.237375161
2.458218,55.799907684,2.238848422
2.458218,55.77438736,2.232066416
2.458218,55.770061493,2.230770122
2.458218,55.845897675,2.231116999
2.458218,55.851688385,2.231198758
2.458218,55.792057037,2.236446517
2.458218,55.840106964,2.234328505
2.458218,55.72882843,2.245088475
2.458218,55.802711487,2.240693726
2.458218,55.85912323,2.221426954
2.458218,55.863876343,2.243941451
2.458218,55.839443207,2.225921438
2.458218,55.805641174,2.232758838
2.458218,55.756637573,2.23170902
2.458218,55.698509216,2.244316691
2.458218,55.831336975,2.240360299
2.458218,55.799613953,2.236513629
2.458218,55.69197464,2.245530293
2.458218,55.746181488,2.237992482
2.458218,55.900081635,2.230173574
2.458218,55.804794312,2.233382683
2.458218,55.855552673,2.233470035
2.458218,55.798519135,2.231119929
2.458218,55.764453888,2.236763433
2.458218,55.751831055,2.239811687
2.458218,55.747402191,2.231642574
2.458218,55.682106018,2.25161535
2.458218,55.803230286,2.23545955
2.458218,55.993282318,2.233262575
2.458218,55.797504425,2.231636848
2.458218,55.842456818,2.236816696
2.458218,55.771549225,2.231932459
2.458218,55.714290619,2.226748216
2.458218,55.835029602,2.239084112
2.458218,55.821033478,2.23774108
2.458218,55.789958954,2.233728229
2.458218,55.766395569,2.239440709
2.458218,55.855350494,2.240727815
2.458218,55.926288605,2.23502359
2.458218,55.802768707,2.232599581
2.458218,55.791870117,2.240451112
2.458218,55.783500671,2.227701894
2.458218,55.877895355,2.231232713
2.458218,55.802516937,2.237098725
2.458218,55.858608246,2.247875739
2.458218,55.878364563,2.244316424
2.458218,55.817050934,2.245547071
2.458218,55.782459259,2.235024123
2.458218,55.838279724,2.240821025
2.458218,55.756515503,2.251158352
2.458218,55.65927887,2.235244366
2.458218,55.764331818,2.232197976
2.458218,55.91860199,2.229616707
2.458218,55.863868713,2.245268238
2.458218,55.771354675,2.237928833
2.458218,55.769378662,2.233229685
2.458218,55.791038513,2.229396863
2.458218,55.830501556,2.234245148
2.458218,55.837490082,2.247921013
2.458218,55.822994232,2.229757855
2.458218,55.851921082,2.21792037
2.458218,55.774486542,2.228759303
2.458218,55.780700684,2.246608074
2.458218,55.867824554,2.232547782
2.458218,55.830860138,2.233387211
2.458218,55.832752228,2.233489343
2.458218,55.834007263,2.239873739
2.458218,55.885574341,2.243154487
2.458218,55.789394379,2.236659304
2.458218,55.855079651,2.240101972
2.458218,55.825027466,2.232331001
2.458218,55.813270569,2.237057979
2.458218,55.866874695,2.248138327
2.458218,55.77305603,2.249119702
2.458218,55.824234009,2.228569819
